deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Set 3","Animals & science","Ants exchange oxygen without having which organs?","Hearts","Lungs","Kidneys","Stomachs","Lungs","Ants have no lungs; air moves through tiny openings into a network of tracheal tubes.","https://askabiologist.asu.edu/how-insects-breathe"
"Set 3","Animals & science","What type of blood vessel carries blood away from the heart?","Vein","Capillary","Artery","Venule","Artery","Arteries carry blood away from the heart, regardless of its oxygen content.","https://www.nhlbi.nih.gov/health/heart/blood-flow"
"Set 3","Animals & science","Which clear part of the eye has no blood vessels and gets oxygen mainly from tears and air?","Retina","Cornea","Iris","Optic nerve","Cornea","The transparent cornea has no blood vessels; it receives oxygen from the air through the tear film.","https://www.nei.nih.gov/learn-about-eye-health/eye-anatomy/cornea"
"Set 3","Geography & history","Which tree appears at the center of Lebanon's national flag?","Olive","Cedar","Cypress","Palm","Cedar","Lebanon's flag places a green cedar tree between two red horizontal bands.","https://www.britannica.com/topic/flag-of-Lebanon"
"Set 3","Geography & history","Which city sits on both the European and Asian sides of the Bosporus?","Athens","Istanbul","Cairo","Tbilisi","Istanbul","The Bosporus divides Istanbul between a European shore and an Asian shore.","https://www.britannica.com/place/Istanbul"
"Set 3","Geography & history","Which national flag includes an open Bible in its coat of arms?","Dominican Republic","Portugal","Mexico","Ecuador","Dominican Republic","The Dominican Republic's coat of arms, centered on its flag, includes an open Bible.","https://www.britannica.com/topic/flag-of-the-Dominican-Republic"
"Set 3","Geography & history","Which present-day country contains the ancient city of Petra?","Jordan","Egypt","Greece","Lebanon","Jordan","The Nabataean rock-cut city of Petra lies in southern Jordan.","https://whc.unesco.org/en/list/326/"
"Set 3","Geography & history","What was the main purpose of the Inca road system?","Chariot racing","Imperial communication and transport","Marking farm boundaries","Channeling floodwater","Imperial communication and transport","The Qhapaq Nan connected Inca territories for communication, trade, defense, and administration.","https://whc.unesco.org/en/list/1459/"
"Set 3","Geography & history","Why does the Eiffel Tower become slightly taller in hot weather?","Its elevators lift it","Its iron expands","Wind straightens it","Its foundations swell","Its iron expands","Thermal expansion makes the iron structure grow by a few millimeters in summer heat.","https://www.toureiffel.paris/en/news/history-and-culture/why-does-eiffel-tower-change-size"
"Set 3","Geography & history","Which U.S. state is both the westernmost and easternmost by longitude?","Hawaii","Florida","Alaska","Maine","Alaska","Alaska's Aleutian Islands cross the 180th meridian, placing the state in both east and west longitudes.","https://www.usgs.gov/faqs/what-are-farthest-points-united-states"
"Set 3","Geography & history","The ancient city of Timbuktu is in which modern country?","Morocco","Mali","Niger","Sudan","Mali","Timbuktu stands near the Niger River in the West African country of Mali.","https://whc.unesco.org/en/list/119/"
"Set 3","Geography & history","The Rosetta Stone repeats one decree in how many writing systems?","Two","Three","Four","Five","Three","The decree appears in hieroglyphic, Demotic, and ancient Greek scripts.","https://www.britishmuseum.org/collection/object/Y_EA24"
"Set 3","Books & games","In Monopoly, may a player collect rent while in Jail?","No, never","Yes, normally","Only after doubles","Only from railroads","Yes, normally","The official rules allow a jailed player to buy and sell property, build, and collect rent.","https://www.hasbro.com/common/instruct/00009.pdf"
"Set 3","Books & games","How many points is a blank tile worth in Scrabble?","Zero","One","Five","Ten","Zero","A blank may represent any letter but carries no point value.","https://service.mattel.com/instruction_sheets/53639.pdf"
"Set 3","Books & games","In standard chess, can a pawn promote to a second queen?","No","Only after check","Yes","Only if the first queen was captured","Yes","Promotion is not limited by pieces already on the board, so multiple queens are legal.","https://www.fide.com/FIDE/handbook/LawsOfChess.pdf"
"Set 3","Books & games","Where are the original stuffed toys that inspired Winnie-the-Pooh displayed?","The British Library","The New York Public Library","The Victoria and Albert Museum","The Library of Congress","The New York Public Library","Christopher Robin Milne's original Pooh, Tigger, Eeyore, Piglet, and Kanga toys are held by the New York Public Library.","https://www.nypl.org/events/exhibitions/galleries/beginnings/item/3561"
"Set 3","Books & games","What was Mario called in his first appearance in Donkey Kong?","Mr. Video","Jumpman","Carpenter Joe","Red Cap","Jumpman","The arcade character later known as Mario was originally identified as Jumpman.","https://www.nintendo.com/us/whatsnew/ask-the-developer-vol-11-super-mario-bros-wonder-part-1/"
"Set 3","Books & games","Every standard Tetris piece is built from how many equal squares?","Three","Four","Five","Six","Four","The name tetromino describes each shape made from four edge-connected squares.","https://tetris.com/about"
"Set 3","Books & games","In UNO, when may you legally play a Wild Draw Four card?","At any time","Only when you have no card matching the current color","Only as your last card","Only after another wild card","Only when you have no card matching the current color","The rules permit Wild Draw Four only when the player holds no card matching the current color.","https://service.mattel.com/instruction_sheets/42001pr.pdf"
"Set 3","Books & games","What object carries the inscription ""One Ring to rule them all"" in Tolkien's story?","A sword blade","A gold ring","A stone door","A silver crown","A gold ring","The fiery inscription appears on the One Ring when it is heated.","https://www.tolkienestate.com/writing/the-lord-of-the-rings/"
"Set 3","Books & games","In the original Pac-Man arcade game, what restores one of the ghosts to normal after it is eaten?","Its eyes returning to the ghost house","A new maze starting","Pac-Man eating fruit","The power pellet wearing off","Its eyes returning to the ghost house","An eaten ghost's eyes travel back to the central ghost house, where the ghost regenerates.","https://www.arcade-museum.com/manuals-videogames/P/Pac-Man.pdf"
"Set 3","Everyday objects & art","What is the small sheath at the end of a shoelace called?","A grommet","An aglet","A toggle","A welt","An aglet","An aglet is the sheath that binds a shoelace end and helps it pass through eyelets.","https://www.merriam-webster.com/dictionary/aglet"
"Set 3","Everyday objects & art","QR codes were first developed to track parts in which industry?","Automotive manufacturing","Book publishing","Air travel","Banking","Automotive manufacturing","DENSO WAVE developed the QR Code in 1994 to improve component tracking in automobile manufacturing.","https://www.qrcode.com/en/history/"
"Set 3","Everyday objects & art","In the original toilet-paper roll patent drawing, which way does the loose end hang?","Over the top","Under the roll","Straight sideways","The drawing shows no holder","Over the top","Seth Wheeler's 1891 patent drawing shows the perforated paper feeding over the top of the roll.","https://patents.google.com/patent/US465588A/en"
"Set 3","Everyday objects & art","Which came first: the metal food can or the can opener?","The can opener","They debuted together","The can","Their order is unknown","The can","Canned food appeared decades before dedicated openers; early cans were opened with tools such as hammers and chisels.","https://www.smithsonianmag.com/innovation/brief-history-can-opener-180975409/"
"Set 3","Everyday objects & art","What is the metal band that holds a pencil's eraser called?","Ferrule","Nib","Tang","Bezel","Ferrule","The crimped metal sleeve joining an eraser to a pencil is called a ferrule.","https://www.merriam-webster.com/dictionary/ferrule"
"Set 3","Everyday objects & art","In Grant Wood's American Gothic, what relationship did he imagine between the two figures?","Husband and wife","Brother and sister","Father and daughter","Employer and servant","Father and daughter","Wood described the stern pair as a farmer and his adult daughter, not a married couple.","https://www.artic.edu/artworks/6565/american-gothic"
"Set 3","Everyday objects & art","Rodin originally designed The Thinker as part of which larger work?","The Gates of Hell","The Burghers of Calais","The Kiss","The Age of Bronze","The Gates of Hell","The seated poet first appeared above the doorway in Rodin's monumental Gates of Hell.","https://www.musee-rodin.fr/en/musee/collections/oeuvres/thinker"
"Set 3","Everyday objects & art","How many canvases make up Andy Warhol's Campbell's Soup Cans?","12","24","32","50","32","Warhol painted 32 separate canvases, one for each soup variety Campbell sold at the time.","https://www.moma.org/collection/works/79809"
"Set 3","Everyday objects & art","In Edvard Munch's account behind The Scream, where did the scream come from?","The figure","A nearby ship","Nature","The city below","Nature","Munch wrote that he sensed an infinite scream passing through nature while walking at sunset.","https://www.nasjonalmuseet.no/en/collection/object/NG.M.00939"
"Set 3","Everyday objects & art","What does the zipper-maker name YKK abbreviate?","Yoshida Kogyo Kabushikikaisha","Yokohama Key and Kit","Yield Keeping Knot","Yamato Kinetic Kogyo","Yoshida Kogyo Kabushikikaisha","YKK comes from the former company name Yoshida Kogyo Kabushikikaisha.","https://www.ykk.com/english/corporate/g_outline.html"
"Set 4","Screen & sound","Which film was the first animated feature nominated for the Academy Award for Best Picture?","Snow White and the Seven Dwarfs","Beauty and the Beast","Toy Story","The Lion King","Beauty and the Beast","Beauty and the Beast received a Best Picture nomination for the 1991 film year.","https://www.oscars.org/oscars/ceremonies/1992"
"Set 4","Screen & sound","What everyday object does Doctor Who's TARDIS resemble from the outside?","Telephone booth","Police box","Garden shed","Railway signal box","Police box","Its faulty chameleon circuit leaves it disguised as a blue British police box.","https://www.bbc.co.uk/programmes/profiles/1RmrT6x1C8WQCc5B0Hq3ZVf/the-tardis"
"Set 4","Screen & sound","Which feature film is credited with popularizing synchronized spoken dialogue?","Metropolis","The Jazz Singer","City Lights","Nosferatu","The Jazz Singer","The Jazz Singer, released in 1927, became the first feature-length motion picture with synchronized dialogue sequences.","https://www.britannica.com/topic/The-Jazz-Singer-film-1927"
"Set 4","Screen & sound","At which televised event did Michael Jackson first perform his famous moonwalk?","Live Aid","Motown 25","The Grammy Awards","Super Bowl XXVII","Motown 25","Jackson unveiled the move during Billie Jean on the Motown 25 television special.","https://www.britannica.com/biography/Michael-Jackson"
"Set 4","Screen & sound","Who supplied the distinctive speaking voice of E.T. in E.T. the Extra-Terrestrial?","Pat Welsh","Debra Winger","Kathleen Turner","Penny Marshall","Pat Welsh","Pat Welsh provided E.T.'s principal speaking voice, with other sounds blended into the final track.","https://catalog.afi.com/Catalog/moviedetails/56772"
"Set 4","Screen & sound","What text is absent from the front cover of the Beatles album Abbey Road?","The album title and band name","The record label","The track list","The photographer's credit","The album title and band name","The iconic cover shows the four Beatles crossing Abbey Road without printing the band name or album title on the front.","https://www.thebeatles.com/abbey-road"
"Set 4","Screen & sound","In The Matrix, which pill does Neo take to learn the truth?","Blue","Green","Red","White","Red","Neo chooses the red pill and wakes from the simulated world.","https://www.britannica.com/topic/The-Matrix"
"Set 4","Screen & sound","Which television comedy follows the employees of the fictional Dunder Mifflin paper company?","Parks and Recreation","30 Rock","The Office","Community","The Office","The US version of The Office centers on Dunder Mifflin's Scranton branch.","https://www.britannica.com/topic/The-Office-American-television-program"
"Set 4","Sports","In soccer, can a player be penalized for offside directly from a goal kick?","Yes, always","Only in the penalty area","Only after halftime","No","No","The offside law specifically exempts players receiving the ball directly from a goal kick.","https://www.theifab.com/laws/latest/offside/"
"Set 4","Sports","In baseball, what happens when a batter bunts a foul ball with two strikes?","It is ignored","The batter is out","The count stays the same","The batter gets another strike","The batter is out","Unlike an ordinary foul with two strikes, a foul bunt counts as strike three.","https://www.mlb.com/official-information/official-rules"
"Set 4","Sports","How many points are needed to win the deciding fifth set in indoor volleyball, barring deuce?","11","15","21","25","15","The deciding fifth set is played to 15 points, with a two-point winning margin.","https://www.fivb.com/volleyball/the-game/official-volleyball-rules/"
"Set 4","Sports","Which restriction applies when castling in chess?","The rook must be threatened","The king may not cross an attacked square","The queen must still be on the board","The king must begin in check","The king may not cross an attacked square","A king cannot castle out of, through, or into check.","https://handbook.fide.com/chapter/E012023"
"Set 4","Sports","In Olympic freestyle swimming, which stroke must competitors use?","Front crawl only","Butterfly only","Any stroke","Breaststroke only","Any stroke","Freestyle permits any stroke, though competitors almost always choose the fastest front crawl.","https://www.worldaquatics.com/rules/competition-regulations"
"Set 4","Sports","How high is a tennis net at its center?","2 feet 6 inches","3 feet","3 feet 6 inches","4 feet","3 feet","The net is held down to 3 feet at the center, lower than its 3-foot-6-inch posts.","https://www.itftennis.com/media/7221/2026-rules-of-tennis-english.pdf"
"Set 4","Sports","How many goals by one player make a hat trick in ice hockey?","Two","Three","Four","Five","Three","A player records a hat trick by scoring three goals in one game.","https://www.nhl.com/info/hockey-glossary"
"Set 4","Sports","Must a baseball player who hits a home run still touch every base?","No, the ball is already dead","Only in extra innings","Yes","Only if a runner was on base","Yes","The batter-runner must legally touch each base even after sending the ball out of play.","https://www.mlb.com/official-information/official-rules"
"Set 4","Food & kitchen","A coffee ""bean"" is botanically what part of the coffee fruit?","A seed","A root","A leaf bud","A shell","A seed","The so-called coffee bean is a seed found inside the coffee plant's fruit.","https://www.britannica.com/plant/coffee-plant-genus"
"Set 4","Food & kitchen","Gelatin is produced by processing which animal protein?","Keratin","Collagen","Hemoglobin","Casein","Collagen","Gelatin forms when collagen from animal skin, bone, and connective tissue is processed and partially broken down.","https://www.britannica.com/science/gelatin"
"Set 4","Food & kitchen","Traditional couscous granules are made chiefly from what?","Semolina wheat","Ground chickpeas","Rice flour","Pearl barley","Semolina wheat","Couscous is traditionally made from moistened semolina rolled into tiny granules.","https://www.britannica.com/topic/couscous"
"Set 4","Food & kitchen","Paprika is made by drying and grinding which plant part?","Pepper fruits","Crocus stigmas","Mustard seeds","Ginger roots","Pepper fruits","Paprika is a powder made from dried fruits of Capsicum annuum peppers.","https://www.britannica.com/topic/paprika"
"Set 4","Food & kitchen","Which part of the rhubarb plant is normally eaten?","Leaf stalks","Roots","Flowers","Leaf blades","Leaf stalks","Rhubarb is grown for its thick edible leaf stalks; its leaf blades contain high levels of oxalic acid.","https://www.britannica.com/plant/rhubarb"
"Set 4","Food & kitchen","Compared with white chicken eggs, brown chicken eggs are generally what?","More nutritious","Lower in cholesterol","Nutritionally similar","Naturally pasteurized","Nutritionally similar","Shell color mostly reflects the hen's breed and does not make an egg more nutritious.","https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/eggs/egg-products-and-food-safety"
"Set 4","Food & kitchen","What makes bread turn brown during toasting?","Fermentation","The Maillard reaction","Freezing-point depression","Carbonation","The Maillard reaction","Heat drives reactions between amino acids and sugars that create brown color and toasted flavors.","https://www.britannica.com/science/Maillard-reaction"
"Set 4","Food & kitchen","What is the main ingredient in traditional Japanese miso?","Fermented soybeans","Dried seaweed","Rice vinegar","Bonito flakes","Fermented soybeans","Miso is a fermented paste usually based on soybeans, salt, and koji.","https://www.britannica.com/topic/miso"
"Set 4","Nature & science","Which appeared on Earth first: sharks or trees?","Trees","Sharks","They appeared together","Scientists cannot tell","Sharks","Shark ancestors predate the earliest known trees by tens of millions of years.","https://ocean.si.edu/ocean-life/sharks-rays/shark-evolution"
"Set 4","Nature & science","Botanically, which fruit is a berry?","Strawberry","Raspberry","Banana","Cherry","Banana","Bananas develop from one ovary and meet the botanical definition of a berry.","https://www.britannica.com/science/berry-plant-reproductive-body"
"Set 4","Nature & science","What is the largest living species of fish?","Great white shark","Whale shark","Ocean sunfish","Manta ray","Whale shark","The whale shark is the largest living fish species.","https://www.britannica.com/animal/whale-shark"
"Set 4","Nature & science","What color is oxygen-poor human blood inside veins?","Blue","Green","Dark red","Colorless","Dark red","Human blood remains red; veins look blue because skin and tissue alter reflected light.","https://www.loc.gov/everyday-mysteries/biology-and-human-anatomy/item/why-do-veins-look-blue/"
"Set 4","Nature & science","How many legs does an adult dragonfly have?","Four","Six","Eight","Ten","Six","Dragonflies are insects and have six legs, although they use them mainly for perching and catching prey.","https://www.britannica.com/animal/dragonfly"
"Set 4","Nature & science","Sound usually travels faster through which medium?","Air","Water","A vacuum","It travels equally fast in all media","Water","Particles transmit vibrations more quickly in water than in air; sound cannot cross a vacuum.","https://oceanservice.noaa.gov/facts/sound.html"
"Set 4","Nature & science","What is Earth's largest desert?","Sahara","Gobi","Arabian","Antarctic","Antarctic","Deserts are defined by low precipitation, making Antarctica the largest.","https://www.britannica.com/science/desert"
"Set 4","Nature & science","Why does the Moon show nearly the same face to Earth?","It does not rotate","Its rotation period matches its orbit","Earth blocks its far side","Its far side is heavier","Its rotation period matches its orbit","The Moon rotates once in the same time it takes to orbit Earth, a state called synchronous rotation.","https://www.britannica.com/place/Moon"
"Set 4","World & history","The shortest recorded war, fought in 1896, involved Britain and which place?","Zanzibar","Cyprus","Iceland","Malta","Zanzibar","The Anglo-Zanzibar War ended after less than an hour of fighting.","https://www.britannica.com/event/Anglo-Zanzibar-War"
"Set 4","World & history","Why was Canberra selected as Australia's federal capital?","It was the largest city","It was a compromise between Sydney and Melbourne","It had the only deep-water port","It was the first British settlement","It was a compromise between Sydney and Melbourne","Canberra was chosen as a compromise location after rivalry between Sydney and Melbourne.","https://www.britannica.com/place/Canberra"
"Set 4","World & history","What do the Panama Canal's locks do to ships?","Tow them by cable across the ocean","Raise and lower them between water levels","Rotate them to face west","Unload their cargo","Raise and lower them between water levels","Lock chambers lift ships up to Gatun Lake and lower them again toward the opposite ocean.","https://www.britannica.com/topic/Panama-Canal"
"Set 4","World & history","Which country has no permanent natural rivers?","Vietnam","Saudi Arabia","Poland","Argentina","Saudi Arabia","Saudi Arabia has seasonal wadis but no permanent rivers.","https://www.britannica.com/place/Saudi-Arabia/Drainage"
"Set 4","World & history","Which statement about the Great Wall of China is accurate?","It is plainly visible from the Moon","It is one continuous wall","It consists of many sections built over centuries","It was entirely built by one emperor","It consists of many sections built over centuries","Many dynasties built separate walls and fortifications; naked-eye visibility from the Moon is a myth.","https://whc.unesco.org/en/list/438/"
"Set 4","World & history","Which ancient ruler lived closer in time to the Moon landing than to the building of the Great Pyramid?","Cleopatra VII","Hammurabi","Sargon of Akkad","Khufu","Cleopatra VII","Cleopatra died in 30 BCE, over two millennia after the Great Pyramid was built.","https://www.britannica.com/biography/Cleopatra-queen-of-Egypt"
"Set 4","World & history","Which country is completely surrounded by South Africa?","Eswatini","Lesotho","Botswana","Namibia","Lesotho","Lesotho is an enclave whose entire boundary meets South Africa.","https://www.britannica.com/place/Lesotho"
"Set 4","World & history","Which sovereign state is the world's smallest by area?","Monaco","Vatican City","San Marino","Liechtenstein","Vatican City","Vatican City occupies about 44 hectares and is the world's smallest independent state.","https://www.britannica.com/place/Vatican-City"
"Set 4","Books & games","What name does Mary Shelley give Frankenstein's creature in the novel?","Adam","Victor","Prometheus","No personal name","No personal name","The novel never gives the creature a personal name; Frankenstein is his creator.","https://www.bl.uk/romantics-and-victorians/articles/an-introduction-to-frankenstein"
"Set 4","Books & games","What was Nintendo's original product when the company began in 1889?","Arcade cabinets","Playing cards","Toy robots","Mechanical puzzles","Playing cards","Nintendo began in Kyoto making handmade hanafuda playing cards.","https://www.nintendo.co.jp/corporate/en/history/index.html"
"Set 4","Books & games","In Clue, which rooms are connected by secret passages?","The four corner rooms","The center rooms","Every room with a door","Only the Kitchen and Hall","The four corner rooms","The four corner rooms form two secret-passage pairs that let a player cross the board.","https://instructions.hasbro.com/en-us/instruction/clue-game"
"Set 4","Books & games","Which phrase does Sherlock Holmes never say exactly in Arthur Conan Doyle's original stories?","The game is afoot","You know my methods","Elementary, my dear Watson","Data! Data! Data!","Elementary, my dear Watson","Holmes says similar words separately, but the famous full phrase came from later adaptations.","https://www.smithsonianmag.com/arts-culture/the-case-of-the-misquoted-sherlock-holmes-180949346/"
"Set 4","Books & games","Which board game evolved from The Landlord's Game, designed to criticize monopolies?","Risk","Monopoly","Clue","The Game of Life","Monopoly","Elizabeth Magie patented The Landlord's Game decades before Monopoly became a commercial hit.","https://americanhistory.si.edu/collections/object-groups/monopoly"
"Set 4","Books & games","What is the highest possible score for a single dart in standard darts?","50","60","75","100","60","The treble 20 scores 60, which is higher than the 50-point inner bull.","https://www.pdc.tv/news/2019/05/22/darts-rules"
"Set 4","Books & games","In Bram Stoker's Dracula, can Count Dracula move about during daylight?","No, sunlight destroys him instantly","Yes, but his powers are reduced","Only while disguised as a wolf","Only on Sundays","Yes, but his powers are reduced","Stoker's Dracula can appear by day, although daylight limits his supernatural abilities.","https://www.gutenberg.org/files/345/345-h/345-h.htm"
"Set 4","Books & games","In which work did Peter Pan first appear?","Peter and Wendy","The Little White Bird","Peter Pan in Kensington Gardens","The Neverending Story","The Little White Bird","J. M. Barrie introduced Peter Pan in the 1902 adult novel The Little White Bird.","https://www.britannica.com/topic/Peter-Pan-play-by-Barrie"
"Set 4","Inventions & objects","The first webcam was aimed at what object?","A coffee pot","A laboratory door","A weather vane","A printer tray","A coffee pot","Cambridge researchers pointed an early network camera at the Trojan Room coffee pot so colleagues could check whether coffee remained.","https://www.cl.cam.ac.uk/coffee/qsf/coffee.html"
"Set 4","Inventions & objects","Bluetooth wireless technology was named after which historical ruler?","Harald Bluetooth","William the Conqueror","Charlemagne","Cnut the Great","Harald Bluetooth","Bluetooth was named for Harald Bluetooth, a Danish king associated with uniting Denmark and Norway.","https://www.bluetooth.com/about-us/bluetooth-origin/"
"Set 4","Inventions & objects","What accidental observation helped Percy Spencer develop the microwave oven?","A candy bar melted in his pocket","Water froze beside a radar tube","A spoon began to vibrate","Bread rose without yeast","A candy bar melted in his pocket","A candy bar melted while Spencer worked near an active magnetron, prompting experiments with food.","https://www.invent.org/inductees/percy-l-spencer"
"Set 4","Inventions & objects","What does the distress signal SOS officially stand for?","Save Our Ship","Save Our Souls","Send Out Succor","Nothing; it is not an abbreviation","Nothing; it is not an abbreviation","SOS was selected as a simple, distinctive Morse signal and was not created as an abbreviation.","https://www.britannica.com/topic/SOS"
"Set 4","Inventions & objects","What does the name LEGO come from?","The founder's initials","Latin for building block","Danish words meaning play well","A town in Denmark","Danish words meaning play well","Ole Kirk Kristiansen formed LEGO from the Danish phrase leg godt, meaning play well.","https://www.lego.com/en-us/history/articles/b-the-lego-name"
"Set 4","Inventions & objects","Which came first?","The friction match","A practical lighter","They appeared in the same year","The electric stove","A practical lighter","Dobereiner's hydrogen lighter appeared in 1823, before John Walker's friction matches in 1826.","https://www.britannica.com/technology/match-tinder"
"Set 4","Inventions & objects","A modern ""tin can"" is usually made mainly from what?","Pure tin","Tin-plated steel","Aluminum foil","Zinc-coated copper","Tin-plated steel","Traditional food cans use steel sheet with a thin protective coating of tin.","https://www.britannica.com/technology/tinplate"
"Set 4","Inventions & objects","What does CAPTCHA stand for?","Computerized Access Test for Public Human Authentication","Completely Automated Public Turing test to tell Computers and Humans Apart","Central Authentication Protocol for Trusted Accounts","Computer Analysis Program That Checks Human Answers","Completely Automated Public Turing test to tell Computers and Humans Apart","CAPTCHA expands to Completely Automated Public Turing test to tell Computers and Humans Apart.","https://www.britannica.com/technology/CAPTCHA"
"Set 4","Culture & curiosities","Which color was produced by the first widely used synthetic dye?","Mauve","Navy blue","Lime green","Scarlet","Mauve","William Perkin accidentally discovered the purple dye mauveine in 1856.","https://www.sciencehistory.org/education/scientific-biographies/william-henry-perkin/"
"Set 4","Culture & curiosities","What was the Louvre before it became a museum?","A university","A fortress and palace","A railway station","A cathedral","A fortress and palace","The site began as a medieval fortress and later became a royal palace.","https://www.louvre.fr/en/explore/the-palace/from-the-palace-to-the-museum"
"Set 4","Culture & curiosities","Which common symbol was once called the octothorpe by telephone engineers?","Ampersand (&)","At sign (@)","Hash sign (#)","Asterisk (*)","Hash sign (#)","Bell Labs staff used octothorpe as a name for the # key on touch-tone telephones.","https://www.merriam-webster.com/dictionary/octothorpe"
"Set 4","Culture & curiosities","The word ""robot"" entered popular use through a play written in which language?","French","Czech","Russian","German","Czech","Karel Capek's Czech play R.U.R. popularized robot from a word related to forced labor.","https://www.britannica.com/topic/RUR"
"Set 4","Culture & curiosities","Which number does a standard roulette wheel contain that is neither red nor black?","One","Zero","Ten","Thirty-six","Zero","Zero is green; American wheels also include a green double zero.","https://www.britannica.com/topic/roulette-gambling-game"
"Set 4","Culture & curiosities","Why did ancient Greek and Roman statues often appear white to later viewers?","Artists avoided pigments","Their paint faded or wore away","White signified royalty","Museums bleached them","Their paint faded or wore away","Many classical sculptures were brightly painted, but most surface pigment disappeared over time.","https://www.metmuseum.org/toah/hd/prms/hd_prms.htm"
"Set 4","Culture & curiosities","What did the earliest known vending machine dispense?","Bread","Holy water","Wine","Postage stamps","Holy water","Hero of Alexandria described a coin-operated device that dispensed a measured amount of holy water.","https://www.britannica.com/technology/vending-machine"
"Set 4","Culture & curiosities","What is the dot above a lowercase i or j called?","Tittle","Cedilla","Serif","Tilde","Tittle","The small distinguishing mark above i and j is called a tittle.","https://www.merriam-webster.com/dictionary/tittle"
"Set 5","Screen & sound","The cascading green code in The Matrix was adapted from recipes for what?","Sushi","Noodle soup","Green tea","Rice cakes","Sushi","Designer Simon Whiteley scanned characters from his wife's Japanese sushi cookbooks.","https://www.cnet.com/culture/entertainment/the-matrix-code-came-from-sushi-recipes/"
"Set 5","Screen & sound","In 2001: A Space Odyssey, what is the name of the spacecraft's computer?","SAL 9000","HAL 9000","MOTHER","Deep Thought","HAL 9000","HAL 9000 controls the Discovery One and becomes the film's central antagonist.","https://www.bfi.org.uk/film/cefccdb2-b558-5623-9c17-72b4be7bd4c1/2001-a-space-odyssey"
"Set 5","Screen & sound","Which often-quoted line is never said exactly that way in Casablanca?","Here's looking at you, kid","Round up the usual suspects","Play it again, Sam","We'll always have Paris","Play it again, Sam","Ilsa says ""Play it, Sam,"" while Rick says ""Play it""; nobody says ""Play it again, Sam.""","https://www.afi.com/afis-100-years-100-movie-quotes/"
"Set 5","Screen & sound","What is the name of Ripley's orange cat in Alien?","Jones","Parker","Ash","Dallas","Jones","Jones, often called Jonesy, survives the Nostromo disaster with Ripley.","https://www.bfi.org.uk/features/alien-40-ridley-scott"
"Set 5","Screen & sound","Which animation method gives a-ha's ""Take On Me"" video its pencilled movement?","Claymation","Rotoscoping","Cutout animation","Motion capture","Rotoscoping","Artists traced filmed live-action frames to create the video's shifting pencil-drawn world.","https://www.loc.gov/static/programs/national-film-preservation-board/documents/take-on-me.pdf"
"Set 5","Screen & sound","What song wakes Phil each morning in Groundhog Day?","Monday, Monday","I Got You Babe","Wake Up Little Susie","Then He Kissed Me","I Got You Babe","The clock radio repeatedly plays Sonny and Cher's ""I Got You Babe"" at 6:00 a.m.","https://catalog.afi.com/Catalog/moviedetails/59532"
"Set 5","Screen & sound","The gangster movie watched by Kevin in Home Alone is what?","A deleted 1930s film","A real James Cagney film","Footage made for Home Alone","A dubbed Italian film","Footage made for Home Alone","Angels with Filthy Souls was a black-and-white scene created specially for Home Alone.","https://www.vanityfair.com/hollywood/2015/11/home-alone-gangster-movie"
"Set 5","Screen & sound","Which Beatles album was recorded last, although it was not released last?","Let It Be","Abbey Road","The White Album","Yellow Submarine","Abbey Road","Abbey Road was the final album the four Beatles recorded together; Let It Be reached shops later.","https://www.thebeatles.com/abbey-road"
"Set 5","Screen & sound","Which Ghostbusters villain begins as a smiling advertising mascot?","Slimer","Gozer","Stay Puft Marshmallow Man","Vigo","Stay Puft Marshmallow Man","Ray accidentally chooses the familiar Stay Puft mascot as the form of the destructor.","https://catalog.afi.com/Catalog/moviedetails/57104"
"Set 5","Screen & sound","The famous tongue-and-lips logo was created for which rock band?","The Who","The Rolling Stones","Led Zeppelin","The Kinks","The Rolling Stones","John Pasche designed the tongue-and-lips emblem for the Rolling Stones in 1970.","https://www.vam.ac.uk/articles/the-rolling-stones-logo-by-john-pasche"
"Set 5","Sports","What is the minimum diameter of a regulation golf ball?","1.48 inches","1.68 inches","1.88 inches","2.08 inches","1.68 inches","The equipment rules require a golf ball to have a diameter of at least 1.680 inches.","https://www.britannica.com/sports/golf/Equipment"
"Set 5","Sports","Why are NHL hockey pucks kept cold before games?","To make them heavier","To reduce bouncing","To brighten the logo","To prevent cracking","To reduce bouncing","Chilled rubber is less lively, so a cold puck bounces less than a warm one.","https://www.smithsonianmag.com/science-nature/the-composition-of-a-hockey-puck-75687749/"
"Set 5","Sports","In fencing, which weapon allows touches anywhere on the opponent's body?","Foil","Sabre","Epee","All three","Epee","The epee target is the entire body; foil and sabre use restricted target areas.","https://olympics.com/en/news/fencing-rules-regulations-how-to-play"
"Set 5","Sports","How high is the center of a regulation badminton net?","1.224 metres","1.524 metres","1.724 metres","2.024 metres","1.524 metres","Badminton laws set the net at 1.524 metres high in the center of the court.","https://corporate.bwfbadminton.com/statutes/"
"Set 5","Sports","Which swimming stroke gives the individual medley its final leg?","Butterfly","Backstroke","Breaststroke","Freestyle","Freestyle","Individual medleys run butterfly, backstroke, breaststroke, then freestyle.","https://resources.fina.org/fina/document/2024/07/01/8c79961d-8d8f-4b9b-aab0-51cc67c91f20/Competition-Regulations-version-July-2024-_FINAL.pdf"
